*metacsv_format_file*,,,,,,,,,,,,,
dataset_name,Collection Log from Cornet Bay 08JUL21,,,,,,,,,,,,
source_file_name,"dgn_zoe_exoskel_carechart, 01_CrabWildLarveaCollectandRearfor Exo2021 / 01_Data(all_types) / raw_Data /",,,,,,,,,,,,
project_name,Crab Wild Larvea Collection and Rear for Exo2021,,,,,,,,,,,,
description,"Collection Log from Cornet Bay 08JUL21 reared in chambers, three zoea to a well plate",,,,,,,,,,,,
keywords,"Cancer magister, Brachyura spp., Zoea, Larvea, Crab, Dungeness, chamber, Ocean Acdification",,,,,,,,,,,,
data_source,,,,,,,,,,,,,
r_script_source,N/A,,,,,,,,,,,,
file_creation_date,8-Jul-21,,,,,,,,,,,,
last_modified_date,24-Aug-21,,,,,,,,,,,,
version_number,version 01,,,,,,,,,,,,
version_history,8/24/21 last modified,,,,,,,,,,,,
editor_name_history,dgn_zoe_exoskel_carechart_(Update08.18.2021)_version01,,,,,,,,,,,,
data_collection_start_date,8-Jul-21,,,,,,,,,,,,
data_collection_end_date,8-Jul-21,,,,,,,,,,,,
data_collection_location,"48.400656, -122.625165",,,,,,,,,,,,
species,Brachyura spp.,,,,,,,,,,,,
life_stage,zoea,,,,,,,,,,,,
data_entered_by,"Danielle Perez, Danielle.Perez@noaa.gov, Michael Maher, Michael.Maher@noaa.gov, Kate Rovinski, kate.rovinski@noaa.gov",,,,,,,,,,,,
data_contributor,"Danielle Perez, Danielle.Perez@noaa.gov, Michael Maher, Michael.Maher@noaa.gov, Kate Rovinski, kate.rovinski@noaa.gov",,,,,,,,,,,,
data_owner,"Paul McElhany, Shallin Busch",,,,,,,,,,,,
institution,"Paul McElhany, paul.mcelhany@noaa.gov NWFSC Science Center",,,,,,,,,,,,
data_point_of_contact,"Danielle Perez, Danielle.Perez@noaa.gov,",,,,,,,,,,,,
data_POC_email,"Danielle Perez, Danielle.Perez@noaa.gov,",,,,,,,,,,,,
archive_link,https://drive.google.com/drive/folders/112_2mRAjYG05eqg6LOzmvnvimU1j5nHS?usp=sharing,,,,,,,,,,,,
how_to_cite,Acknowledgements that need to be included in any use of the data.,,,,,,,,,,,,
acknowledgements,N/A,,,,,,,,,,,,
related_datasets,https://drive.google.com/drive/folders/112_2mRAjYG05eqg6LOzmvnvimU1j5nHS?usp=sharing,,,,,,,,,,,,
***,,,,,,,,,,,,,
variable_name,variable_long_name,units,description,data_type,format,missing_value_indicator,instrument,variable_min,variable_max,,,,
location_ID,location of collection,character,Cornet Bay describes collecting at the town dock,character,character,N/A,N/A,N/A,N/A,,,,
crabID ,Crab Identification,character,"alpha numeric to describe chamber, wellplate number, and well location ",character,character,N/A,N/A,N/A,N/A,,,,
vialID_prior,vial Identification,character,"alpha numeric to describe vial number sequence either ""F"" for frozen or ""E"" for Ethanol prior to audit correction",character,character,N/A,N/A,N/A,N/A,,,,
vialID,final vial identification,character,"final alpha numeric to describe vial number sequence either ""F"" for frozen or ""E"" for Ethanol following audit correction",character,character,N/A,N/A,N/A,N/A,,,,
Vial Audit 2021.07.23,via audit corrections,character,corrections made to vial labeling on July 23rd 2021,character,character,N/A,N/A,N/A,N/A,,,,
salinity ,salinity (PSU),PSU,salinity (PSU),numeric,numeric,N/A,N/A,28.86,30.29,,,,
artificalseawaterrinse,artifical seawater rinse,character,"artifical seawater rinse prior to ""distilled"" water rinse",character,character,N/A,N/A,N/A,N/A,,,,
kimwipedab,kimwipedab,character,kimwipedab,boolean,Y (or) N,N/A,N/A,N/A,N/A,,,,
Neg0,Neg0,character,Neg0,boolean,Y (or) N,N/A,N/A,N/A,N/A,,,,
EtOH,EtOH,character,EtOH,boolean,Y (or) N,N/A,N/A,N/A,N/A,,,,
vial,vial   ,character,vial type,character,character,N/A,N/A,N/A,N/A,,,,
date_preserved,date preservation,date,date animal and or molt was preserved,%m/%d/%YY,dateTime,N/A,N/A,N/A,N/A,,,,
preservationMaterial,preservation material ,character,preservation material either a megalopae molt or whole instar,character,character,N/A,N/A,N/A,N/A,,,,
