Last Date,2021_07_13,,,,,,,,,
Transfer Date,2021_07_14,,,,,,,,,
crabID,startLoc,By,Molt,Dead,Remov,Lost,Chmbr,Ptype,Pnum,Well
blank,CH07_W6_92_1,,,,,,CH07,W6,,1
blank,CH07_W6_92_2,,,,,,CH07,W6,,2
blank,CH07_W6_92_3,,,,,,CH07,W6,,3
blank,CH07_W6_92_4,,,,,,CH07,W6,,4
blank,CH07_W6_92_5,,,,,,CH07,W6,,5
blank,CH07_W6_92_6,,,,,,CH07,W6,,6
blank,CH07_W6_93_1,,,,,,CH07,W6,,1
blank,CH07_W6_93_2,,,,,,CH07,W6,,2
blank,CH07_W6_93_3,,,,,,CH07,W6,,3
CH07_W_19_2021_06_17,CH07_W6_93_4,,x,,x,,CH07,W6,,4
blank,CH07_W6_93_5,,,,,,CH07,W6,,5
blank,CH07_W6_93_6,,,,,,CH07,W6,,6
blank,CH07_W6_109_1,,,,,,CH07,W6,,1
blank,CH07_W6_109_2,,,,,,CH07,W6,,2
blank,CH07_W6_109_3,,,,,,CH07,W6,,3
blank,CH07_W6_109_4,,,,,,CH07,W6,,4
blank,CH07_W6_109_5,,,,,,CH07,W6,,5
blank,CH07_W6_109_6,,,,,,CH07,W6,,6
blank,CH07_W6_121_1,,,,,,CH07,W6,,1
blank,CH07_W6_121_2,,,,,,CH07,W6,,2
blank,CH07_W6_121_3,,,,,,CH07,W6,,3
blank,CH07_W6_121_4,,,,,,CH07,W6,,4
blank,CH07_W6_121_5,,,,,,CH07,W6,,5
