Last Date,2021_07_01,,,,,,,,,
Transfer Date,2021_07_06,,,,,,,,,
crabID,startLoc,By,Molt,Dead,Remov,Lost,Chmbr,Ptype,Pnum,Well
CH06_W_8_2021_06_17,CH06_W6_91_1,,,,,,CH06,W6,91,1
CH06_W_6_2021_06_17,CH06_W6_91_2,,,,,,CH06,W6,91,2
blank,CH06_W6_91_3,,,,,,CH06,W6,91,3
CH06_W_17_2021_06_17,CH06_W6_91_4,,,,,,CH06,W6,91,4
CH06_W_5_2021_06_17,CH06_W6_91_5,,x,,x,,CH06,W6,91,5
blank,CH06_W6_91_6,,,,,,CH06,W6,91,6
blank,CH06_W6_130_1,,,,,,CH06,W6,130,1
CH06_W_13_2021_06_17,CH06_W6_130_2,,,,,,CH06,W6,130,2
CH06_W_15_2021_06_17,CH06_W6_130_3,,x,,x,,CH06,W6,130,3
CH06_W_3_2021_06_17,CH06_W6_130_4,,x,,x,,CH06,W6,130,4
blank,CH06_W6_130_5,,,,,,CH06,W6,130,5
CH06_W_16_2021_06_17,CH06_W6_130_6,,,,,,CH06,W6,130,6
CH06_W_2_2021_06_17,CH06_W6_64_1,,x,,x,,CH06,W6,64,1
CH06_W_14_2021_06_17,CH06_W6_64_2,,,,,,CH06,W6,64,2
blank,CH06_W6_64_3,,,,,,CH06,W6,64,3
CH06_W_1_2021_06_17,CH06_W6_64_4,,,,,,CH06,W6,64,4
blank,CH06_W6_64_5,,,,,,CH06,W6,64,5
blank,CH06_W6_64_6,,,,,,CH06,W6,64,6
CH06_W_18_2021_06_17,CH06_W6_73_1,,,x,,,CH06,W6,73,1
blank,CH06_W6_73_2,,,,,,CH06,W6,73,2
CH06_W_4_2021_06_17,CH06_W6_73_3,,x,,x,,CH06,W6,73,3
blank,CH06_W6_73_4,,,,,,CH06,W6,73,4
CH06_W_20_2021_06_17,CH06_W6_73_5,,x,,x,,CH06,W6,73,5
