Last Date,2021_07_13,,,,,,,,,
Transfer Date,2021_07_14,,,,,,,,,
crabID,startLoc,By,Molt,Dead,Remov,Lost,Chmbr,Ptype,Pnum,Well
blank,CH06_W6_91_1,,,,,,CH06,W6,,1
CH06_W_6_2021_06_17,CH06_W6_91_2,,x,,x,,CH06,W6,,2
blank,CH06_W6_91_3,,,,,,CH06,W6,,3
CH06_W_17_2021_06_17,CH06_W6_91_4,,,,,x,CH06,W6,,4
blank,CH06_W6_91_5,,,,,,CH06,W6,,5
blank,CH06_W6_91_6,,,,,,CH06,W6,,6
blank,CH06_W6_130_1,,,,,,CH06,W6,,1
blank,CH06_W6_130_2,,,,,,CH06,W6,,2
blank,CH06_W6_130_3,,,,,,CH06,W6,,3
blank,CH06_W6_130_4,,,,,,CH06,W6,,4
blank,CH06_W6_130_5,,,,,,CH06,W6,,5
blank,CH06_W6_130_6,,,,,,CH06,W6,,6
blank,CH06_W6_64_1,,,,,,CH06,W6,,1
CH06_W_14_2021_06_17,CH06_W6_64_2,,x,,x,,CH06,W6,,2
blank,CH06_W6_64_3,,,,,,CH06,W6,,3
CH06_W_1_2021_06_17,CH06_W6_64_4,,x,,x,,CH06,W6,,4
blank,CH06_W6_64_5,,,,,,CH06,W6,,5
blank,CH06_W6_64_6,,,,,,CH06,W6,,6
blank,CH06_W6_73_1,,,,,,CH06,W6,,1
blank,CH06_W6_73_2,,,,,,CH06,W6,,2
blank,CH06_W6_73_3,,,,,,CH06,W6,,3
blank,CH06_W6_73_4,,,,,,CH06,W6,,4
blank,CH06_W6_73_5,,,,,,CH06,W6,,5
