Last Date,2021_06_30,,,,,,,,,
Transfer Date,2021_07_01,,,,,,,,,
crabID,startLoc,By,Molt,Dead,Remov,Lost,Chmbr,Ptype,Pnum,Well
blank,CH07_W6_92_1,,,,,,CH07,W6,92,1
blank,CH07_W6_92_2,,,,,,CH07,W6,92,2
blank,CH07_W6_92_3,,,,,,CH07,W6,92,3
CH07_W_1_2021_06_17,CH07_W6_92_4,,,,,,CH07,W6,92,4
blank,CH07_W6_92_5,,,,,,CH07,W6,92,5
blank,CH07_W6_92_6,,,,,,CH07,W6,92,6
blank,CH07_W6_93_1,,,,,,CH07,W6,93,1
blank,CH07_W6_93_2,,,,,,CH07,W6,93,2
CH07_W_11_2021_06_17,CH07_W6_93_3,,,,,,CH07,W6,93,3
CH07_W_19_2021_06_17,CH07_W6_93_4,,,,,,CH07,W6,93,4
blank,CH07_W6_93_5,,,,,,CH07,W6,93,5
CH07_W_14_2021_06_17,CH07_W6_93_6,,,,,,CH07,W6,93,6
blank,CH07_W6_109_1,,,,,,CH07,W6,109,1
CH07_W_4_2021_06_17,CH07_W6_109_2,,,,,,CH07,W6,109,2
CH07_W_20_2021_06_17,CH07_W6_109_3,,,,,,CH07,W6,109,3
blank,CH07_W6_109_4,,,,,,CH07,W6,109,4
blank,CH07_W6_109_5,,,,,,CH07,W6,109,5
blank,CH07_W6_109_6,,,,,,CH07,W6,109,6
blank,CH07_W6_121_1,,,,,,CH07,W6,121,1
CH07_W_7_2021_06_17,CH07_W6_121_2,,,,,,CH07,W6,121,2
blank,CH07_W6_121_3,,,,,,CH07,W6,121,3
blank,CH07_W6_121_4,,,,,,CH07,W6,121,4
blank,CH07_W6_121_5,,,,,,CH07,W6,121,5
